id,name,email,phone,country,state,city,category
1,"Williams, Le and Mann",wwilliams@miranda.com,001-936-143-9924x4390,Kenya,Washington,West Latasha,Education
2,Mills Inc,reyesandre@brown.org,001-483-747-3961x2524,Cyprus,Utah,Higginsshire,Manufacturing
3,Church and Sons,billybarry@taylor-jacobs.org,(043)518-9503,Burkina Faso,Montana,Melissaton,Manufacturing
4,Craig-Simon,fnelson@johnson.com,226-877-0094x6148,Bangladesh,Maryland,West Lindsay,Finance
5,Williams-Mccoy,michaelacook@guerrero-wheeler.com,413-444-4100x726,Cyprus,Alabama,Tylerfurt,Finance
6,Golden-Hodge,david15@white.com,(619)427-8794,Liechtenstein,South Carolina,East Joseph,IT Services
7,Estes and Sons,wbates@mann.com,(003)193-0801x2839,Cocos (Keeling) Islands,Wyoming,Brownton,Manufacturing
8,Garcia-George,ortizronald@vargas.com,+1-824-568-5469x4258,Guinea-Bissau,Georgia,Ginaport,Healthcare
9,"Miller, Obrien and Nelson",lindadavis@valencia.com,952-917-3110,Andorra,Oregon,Jeffreystad,Healthcare
10,White Inc,robert61@hahn-molina.org,001-059-225-5841x100,Tajikistan,California,Port Christopherstad,Retail
11,Walters Inc,jasonschmitt@garcia.com,+1-093-003-5419x8360,Zimbabwe,Hawaii,North Chelseatown,Finance
12,"Mitchell, Schneider and Mack",richardjohnson@jordan.biz,(042)398-1182,Turkmenistan,Idaho,Port Williamburgh,Education
13,"Brown, Davis and Hensley",brian47@martinez.com,919-571-2975x0277,Panama,Delaware,West Robert,Education
14,Shelton Ltd,holderchristine@morris-young.com,100-547-8982,Guinea-Bissau,Colorado,West Tammie,Retail
15,Campbell-Garza,michaeltaylor@medina-white.com,(089)624-5300x74640,Mauritania,Vermont,Benjaminville,Finance
16,"Curtis, Salinas and Christian",colejames@davis.com,(345)291-6895x0444,Togo,Georgia,Elizabethtown,Finance
17,Murillo Ltd,michele99@knox.org,(543)922-8656x6998,Tanzania,Tennessee,North Aaron,Education
18,Alvarado Inc,brian39@mccoy.biz,922.904.8444x5281,El Salvador,Wyoming,Oliverberg,IT Services
19,Silva-Anderson,donaldsanchez@jimenez-warren.com,(661)418-4577x31944,Portugal,Arizona,North Yolandatown,Finance
20,Norton-Davis,foxandrea@torres.net,-2903,El Salvador,Oklahoma,Port John,Education
21,Castillo Ltd,unixon@harris-clark.biz,122-103-7754x607,Bolivia,Missouri,Haileyport,Retail
22,Nelson and Sons,timothyperkins@cooper-preston.org,7293149474,New Zealand,Virginia,Markmouth,Healthcare
23,"Davis, Whitehead and Webb",rebeccanorris@allen.info,746.076.4555x8288,Fiji,Nebraska,Brianburgh,Healthcare
24,Barron Ltd,jamesnorris@palmer-garcia.com,000-947-3932x957,Western Sahara,West Virginia,Lake Brittany,IT Services
25,"Hernandez, Ryan and Mccormick",andrew00@williams-johnson.com,+1-351-698-3575x20669,Western Sahara,Wisconsin,Amandaville,Finance
26,"Williams, Patel and Hood",jose17@jennings.com,(524)503-9104x8831,Togo,North Dakota,Matthewville,Education
27,Brooks Group,coxkevin@banks-kirby.com,(558)294-0950x487,Venezuela,Delaware,New Pennyfurt,Education
28,Scott-Gomez,johnmoore@meadows.com,927.760.0696,Bahrain,Ohio,Victoriafort,Retail
29,Torres Group,elizabeth72@wright.info,001-445-015-5272,Solomon Islands,South Dakota,Ebonychester,Education
30,Adams-Meadows,qarellano@hernandez.info,(477)995-2253,Montenegro,North Carolina,Farmermouth,Healthcare
31,Rich-Nielsen,rlee@le-brown.com,771.248.0473x7856,Hungary,Utah,Kylehaven,Manufacturing
32,"Roberts, Perez and Hicks",nunezbrandi@boyd-price.com,008.014.0543x42615,Taiwan,Maine,Howelltown,Manufacturing
33,"Smith, Holland and Johnson",mooretimothy@beck.com,(793)090-1615x56307,French Southern Territories,Oklahoma,Lake Tiffany,Finance
34,Love LLC,ghaney@smith-yoder.com,896-817-2864x2129,United States Virgin Islands,Connecticut,East Andrewmouth,Healthcare
35,Lee and Sons,sean42@white.info,(134)783-5304x46567,Oman,Oregon,Donaldfort,Education
